Name,ID,State,Notes,User,Group,Job Type,Tags,Created,Updated,End Time,Runtime,Sweep,Hostname,Description,Commit,GitHub,GPU Count,GPU Type,test_acc,scel,algo,data_aug,dataset_name,lr,model,seed,best_epoch-scel.epoch,best_epoch-scel.scel,best_epoch-scel.test_acc,best_epoch-scel.train_acc,best_epoch-scel.training_loss,best_epoch-scel.ure,best_epoch-scel.valid_acc,best_epoch-ure.epoch,best_epoch-ure.scel,best_epoch-ure.test_acc,best_epoch-ure.train_acc,best_epoch-ure.training_loss,best_epoch-ure.ure,best_epoch-ure.valid_acc,best_epoch-valid_acc.epoch,best_epoch-valid_acc.scel,best_epoch-valid_acc.test_acc,best_epoch-valid_acc.train_acc,best_epoch-valid_acc.training_loss,best_epoch-valid_acc.ure,best_epoch-valid_acc.valid_acc,train_acc,training_loss,ure,valid_acc
eager-sweep-10,tesr1jz9,finished,-,anthony-wss,,,pc-sigmoid,2023-04-24T11:24:34.000Z,2023-04-24T11:49:41.000Z,2023-04-24T11:49:41.000Z,1507,ej77nveg,bdcldftwccli-6dv2f,,,,1,Tesla V100-SXM2-32GB,0.0538,2.9442126750946045,pc-sigmoid,False,uniform-cifar20,1e-05,resnet18,0,69.0,2.9439191818237305,0.0592,0.0614222222222222,0.1353979760950261,-116.40229034423828,0.0594,299.0,2.9442126750946045,0.0538,0.0585333333333333,0.0005088346925648,-250.15760803222656,0.0594,9.0,2.972468137741089,0.0708,0.0740222222222222,6.998261164535176,-8.518189430236816,0.0722,0.0585333333333333,0.0005088346925648,-250.15760803222656,0.0594
avid-sweep-9,mgj4zp3d,finished,-,anthony-wss,,,pc-sigmoid,2023-04-24T11:23:26.000Z,2023-04-24T11:48:30.000Z,2023-04-24T11:48:30.000Z,1504,ej77nveg,joc52itwccli-fbm72,,,,1,Tesla V100-SXM2-32GB,0.0581,2.943835020065308,pc-sigmoid,False,uniform-cifar20,5e-05,resnet18,0,74.0,2.9433043003082275,0.0573,0.0600666666666666,0.0024594041434201,-202.0890960693359,0.0604,299.0,2.943835020065308,0.0581,0.0611333333333333,0.0009374496611681,-266.76275634765625,0.0586,4.0,2.958945035934448,0.0742,0.0776,5.108148471875624,-20.58194732666016,0.0756,0.0611333333333333,0.0009374496611681,-266.76275634765625,0.0586
golden-sweep-8,9ckzuv1g,finished,-,anthony-wss,,,pc-sigmoid,2023-04-24T10:59:14.000Z,2023-04-24T11:24:27.000Z,2023-04-24T11:24:27.000Z,1513,ej77nveg,bdcldftwccli-6dv2f,,,,1,Tesla V100-SXM2-32GB,0.0692,2.944282531738281,pc-sigmoid,False,uniform-cifar20,0.0001,resnet18,0,54.0,2.9436323642730717,0.058,0.0623777777777777,0.0022307139906016,-204.49745178222656,0.0604,184.0,2.9460957050323486,0.0623,0.0701777777777777,0.0010595856742425,-296.6748962402344,0.0616,4.0,2.9495108127593994,0.0726,0.0787777777777777,3.215894948352467,-40.818843841552734,0.0794,0.0705111111111111,0.0009235319766131,-281.84967041015625,0.072
hearty-sweep-7,jcgy56us,finished,-,anthony-wss,,,pc-sigmoid,2023-04-24T10:58:27.000Z,2023-04-24T11:23:20.000Z,2023-04-24T11:23:20.000Z,1493,ej77nveg,joc52itwccli-fbm72,,,,1,Tesla V100-SXM2-32GB,0.0699,2.941051483154297,pc-sigmoid,False,uniform-cifar20,0.0005,resnet18,0,229.0,2.9394216537475586,0.0696,0.0732,0.0013135705481876,-328.606201171875,0.0734,139.0,2.94250750541687,0.0787,0.0761111111111111,0.0122968107461929,-434.736083984375,0.073,4.0,2.987134456634521,0.105,0.1074666666666666,7.801425917582079,-12.064358711242676,0.1084,0.0729111111111111,0.0013619044964963,-331.7645568847656,0.0762
iconic-sweep-6,c6oniyb5,finished,-,anthony-wss,,,pc-sigmoid,2023-04-24T10:33:36.000Z,2023-04-24T10:59:06.000Z,2023-04-24T10:59:06.000Z,1530,ej77nveg,bdcldftwccli-6dv2f,,,,1,Tesla V100-SXM2-32GB,0.0717,2.942387104034424,pc-sigmoid,False,uniform-cifar20,0.001,resnet18,0,89.0,2.935883045196533,0.0715,0.0737333333333333,0.0051446448672901,-471.064453125,0.0802,154.0,2.939316987991333,0.0713,0.0734666666666666,0.0109148357402194,-475.96917724609375,0.0766,14.0,2.983463764190674,0.106,0.1016,5.679209367795424,-68.12745666503906,0.1084,0.0685333333333333,0.004257670180364,-442.9592590332031,0.0692
woven-sweep-5,0x41fty6,finished,-,anthony-wss,,,pc-sigmoid,2023-04-24T10:33:11.000Z,2023-04-24T10:58:18.000Z,2023-04-24T10:58:18.000Z,1507,ej77nveg,joc52itwccli-fbm72,,,,1,Tesla V100-SXM2-32GB,0.1306,2.1953046321868896,pc-sigmoid,False,uniform-cifar10,1e-05,resnet18,0,119.0,2.194693088531494,0.131,0.1388888888888889,0.0016240355643359,-83.46043395996094,0.1322,299.0,2.1953046321868896,0.1306,0.1381777777777778,0.0001927560025995,-110.36572265625,0.1286,9.0,2.250016689300537,0.2183,0.2276888888888888,3.1510123962705787,-3.6682288646698,0.2216,0.1381777777777778,0.0001927560025995,-110.36572265625,0.1286
visionary-sweep-4,vitmlfm3,finished,-,anthony-wss,,,pc-sigmoid,2023-04-24T10:08:15.000Z,2023-04-24T10:33:30.000Z,2023-04-24T10:33:30.000Z,1515,ej77nveg,bdcldftwccli-6dv2f,,,,1,Tesla V100-SXM2-32GB,0.1548,2.196985006332397,pc-sigmoid,False,uniform-cifar10,5e-05,resnet18,0,24.0,2.1959173679351807,0.1375,0.1500222222222222,0.0096138946034691,-67.14997863769531,0.1426,149.0,2.1967029571533203,0.1546,0.1549777777777777,0.0005178160288117,-108.32899475097656,0.152,4.0,2.220811605453491,0.2015,0.2099333333333333,2.095012228597294,-11.314923286437988,0.199,0.161,0.0005758838220076,-99.24481201171876,0.156
soft-sweep-3,2x04t01v,finished,-,anthony-wss,,,pc-sigmoid,2023-04-24T10:07:59.000Z,2023-04-24T10:33:02.000Z,2023-04-24T10:33:02.000Z,1503,ej77nveg,joc52itwccli-fbm72,,,,1,Tesla V100-SXM2-32GB,0.186,2.1956284046173096,pc-sigmoid,False,uniform-cifar10,0.0001,resnet18,0,44.0,2.1951913833618164,0.1442,0.1496222222222222,0.000809873369607,-87.9828872680664,0.1378,149.0,2.1958167552948,0.1744,0.1791333333333333,0.0008603950793092,-127.73768615722656,0.1718,224.0,2.2218246459960938,0.1995,0.2012222222222222,2.279499901966615,-29.00796127319336,0.1918,0.1915555555555555,0.0001987462693994,-119.88158416748048,0.1844
woven-sweep-2,bnw152zt,finished,-,anthony-wss,,,pc-sigmoid,2023-04-24T09:42:51.000Z,2023-04-24T10:07:55.000Z,2023-04-24T10:07:55.000Z,1504,ej77nveg,joc52itwccli-fbm72,,,,1,Tesla V100-SXM2-32GB,0.1702,2.1972768306732178,pc-sigmoid,False,uniform-cifar10,0.0005,resnet18,0,114.0,2.195810317993164,0.1952,0.1986888888888889,0.0492783270098946,-194.928466796875,0.182,214.0,2.1984691619873047,0.1885,0.1817111111111111,0.0337514321912418,-200.005126953125,0.1806,4.0,2.350195407867432,0.3061,0.3058888888888889,3.735498772426085,-3.653122663497925,0.2964,0.1665777777777777,0.0298463702201843,-192.33543395996097,0.163
dazzling-sweep-1,ryka76pv,finished,-,anthony-wss,,,pc-sigmoid,2023-04-24T09:42:43.000Z,2023-04-24T10:08:11.000Z,2023-04-24T10:08:11.000Z,1528,ej77nveg,bdcldftwccli-6dv2f,,,,1,Tesla V100-SXM2-32GB,0.164,2.198439121246338,pc-sigmoid,False,uniform-cifar10,0.001,resnet18,0,244.0,2.1935479640960693,0.1661,0.1693111111111111,0.0588996031067588,-213.9391937255859,0.1712,154.0,2.1962366104125977,0.1782,0.1733555555555555,0.0648676651445302,-217.6511077880859,0.177,9.0,2.423714160919189,0.351,0.3400444444444444,3.864329392259771,-2.7889442443847656,0.3382,0.1646,0.067798644981601,-212.1191864013672,0.169
