"Name","State","Notes","User","Tags","Created","Runtime","Sweep","ID","Group","Job Type","Updated","End Time","Hostname","Description","Commit","GitHub","GPU Count","GPU Type","algo","data_aug","data_cleaning_rate","dataset_name","lr","model","seed","best_epoch-scel.epoch","best_epoch-scel.scel","best_epoch-scel.test_acc","best_epoch-scel.train_acc","best_epoch-scel.training_loss","best_epoch-scel.ure","best_epoch-scel.valid_acc","best_epoch-ure.epoch","best_epoch-ure.scel","best_epoch-ure.test_acc","best_epoch-ure.train_acc","best_epoch-ure.training_loss","best_epoch-ure.ure","best_epoch-ure.valid_acc","best_epoch-valid_acc.epoch","best_epoch-valid_acc.scel","best_epoch-valid_acc.test_acc","best_epoch-valid_acc.train_acc","best_epoch-valid_acc.training_loss","best_epoch-valid_acc.ure","best_epoch-valid_acc.valid_acc","scel","test_acc","train_acc","training_loss","ure","valid_acc"
"vital-sweep-449","crashed","-","anthony-wss","","2023-05-03T16:16:22.000Z","0","qor0m6rv","uliu1nsr","","","2023-05-03T16:16:22.000Z","2023-05-03T16:16:22.000Z","","","","","","","pc-sigmoid","true","","uniform-clcifar20","0.00005","m-resnet18","1126","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"sunny-sweep-450","crashed","-","anthony-wss","","2023-05-03T16:16:22.000Z","0","qor0m6rv","qy3etp27","","","2023-05-03T16:16:22.000Z","2023-05-03T16:16:22.000Z","","","","","","","pc-sigmoid","true","","uniform-clcifar20","0.00001","m-resnet18","1126","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"lemon-sweep-448","crashed","-","anthony-wss","","2023-05-03T16:16:21.000Z","0","qor0m6rv","h7fo1mvl","","","2023-05-03T16:16:21.000Z","2023-05-03T16:16:21.000Z","","","","","","","pc-sigmoid","true","","uniform-clcifar20","0.0001","m-resnet18","1126","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"different-sweep-447","crashed","-","anthony-wss","","2023-05-03T16:16:19.000Z","0","qor0m6rv","m7bs7kr0","","","2023-05-03T16:16:19.000Z","2023-05-03T16:16:19.000Z","","","","","","","pc-sigmoid","true","","uniform-clcifar20","0.0005","m-resnet18","1126","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"magic-sweep-446","crashed","-","anthony-wss","","2023-05-03T16:16:18.000Z","0","qor0m6rv","rpe6ynon","","","2023-05-03T16:16:18.000Z","2023-05-03T16:16:18.000Z","","","","","","","pc-sigmoid","true","","uniform-clcifar20","0.001","m-resnet18","1126","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"revived-sweep-444","crashed","-","anthony-wss","","2023-05-03T16:16:17.000Z","0","qor0m6rv","v6qn0x0x","","","2023-05-03T16:16:17.000Z","2023-05-03T16:16:17.000Z","","","","","","","pc-sigmoid","true","","uniform-clcifar10","0.00005","m-resnet18","1126","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"silver-sweep-445","crashed","-","anthony-wss","","2023-05-03T16:16:17.000Z","0","qor0m6rv","px5sa7mu","","","2023-05-03T16:16:17.000Z","2023-05-03T16:16:17.000Z","","","","","","","pc-sigmoid","true","","uniform-clcifar10","0.00001","m-resnet18","1126","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"gentle-sweep-441","crashed","-","anthony-wss","","2023-05-03T16:16:16.000Z","0","qor0m6rv","i9oy8pb1","","","2023-05-03T16:16:16.000Z","2023-05-03T16:16:16.000Z","","","","","","","pc-sigmoid","true","","uniform-clcifar10","0.001","m-resnet18","1126","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fallen-sweep-442","crashed","-","anthony-wss","","2023-05-03T16:16:16.000Z","0","qor0m6rv","i99unnoq","","","2023-05-03T16:16:16.000Z","2023-05-03T16:16:16.000Z","","","","","","","pc-sigmoid","true","","uniform-clcifar10","0.0005","m-resnet18","1126","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"solar-sweep-443","crashed","-","anthony-wss","","2023-05-03T16:16:16.000Z","0","qor0m6rv","fcudmucr","","","2023-05-03T16:16:16.000Z","2023-05-03T16:16:16.000Z","","","","","","","pc-sigmoid","true","","uniform-clcifar10","0.0001","m-resnet18","1126","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"proud-sweep-440","finished","-","anthony-wss","pc-sigmoid","2023-05-03T16:16:13.000Z","4533","qor0m6rv","axfwvqm7","","","2023-05-03T17:31:46.000Z","2023-05-03T17:31:46.000Z","azk8xvtwccli-k44xd","","","","1","Tesla V100-SXM2-32GB","pc-sigmoid","true","1","clcifar20-noiseless","0.00001","m-resnet18","1126","299","2.899620294570923","0.1166","0.12417244909566602","3.920506388642067","-72.61766052246094","0.12448812448812448","299","2.899620294570923","0.1166","0.12417244909566602","3.920506388642067","-72.61766052246094","0.12448812448812448","84","2.942908525466919","0.1646","0.1666932089637129","7.134234982867573","-7.534043312072754","0.16564291564291564","2.899620294570923","0.1166","0.12417244909566602","3.920506388642067","-72.61766052246094","0.12448812448812448"
"amber-sweep-438","finished","-","anthony-wss","pc-sigmoid","2023-05-03T14:59:00.000Z","4540","qor0m6rv","r8prku9r","","","2023-05-03T16:14:40.000Z","2023-05-03T16:14:40.000Z","nt2oqftwccli-gl7vw","","","","1","Tesla V100-SXM2-32GB","pc-sigmoid","true","1","clcifar20-noiseless","0.0001","m-resnet18","1126","219","2.8949084281921387","0.091","0.09268570128540551","0.0960295027078584","-512.954345703125","0.09377559377559376","299","2.8975465297698975","0.0903","0.08968262996246161","0.055932924497959224","-554.3446655273438","0.09275184275184276","19","2.9532723426818848","0.1641","0.1662154476168809","7.284292581469514","-8.267884254455566","0.16093366093366093","2.8975465297698975","0.0903","0.08968262996246161","0.055932924497959224","-554.3446655273438","0.09275184275184276"
"young-sweep-439","finished","-","anthony-wss","pc-sigmoid","2023-05-03T14:59:00.000Z","4539","qor0m6rv","qa9pcowa","","","2023-05-03T16:14:39.000Z","2023-05-03T16:14:39.000Z","oi01letwccli-gclzp","","","","1","Tesla V100-SXM2-32GB","pc-sigmoid","true","1","clcifar20-noiseless","0.00005","m-resnet18","1126","284","2.895540714263916","0.0919","0.0905699010351496","0.08466404399206472","-450.76812744140625","0.08824733824733824","299","2.8972320556640625","0.0922","0.08970538050278694","0.07702101316562919","-462.3857727050781","0.08169533169533169","24","2.949039936065674","0.1536","0.15379365259924924","7.258888538493666","-7.966019630432129","0.1547911547911548","2.8972320556640625","0.0922","0.08970538050278694","0.07702101316562919","-462.3857727050781","0.08169533169533169"
"wobbly-sweep-437","finished","-","anthony-wss","pc-sigmoid","2023-05-03T14:58:50.000Z","4540","qor0m6rv","829evf87","","","2023-05-03T16:14:30.000Z","2023-05-03T16:14:30.000Z","xrjayjtwccli-kxwlr","","","","1","Tesla V100-SXM2-32GB","pc-sigmoid","true","1","clcifar20-noiseless","0.0005","m-resnet18","1126","154","2.8806662559509277","0.1061","0.10078489364122398","0.34159733112468277","-499.9581298828125","0.0941850941850942","264","2.8904213905334473","0.0936","0.09734956205209874","0.1611080238985461","-651.6804809570312","0.09336609336609336","69","2.9588751792907715","0.1728","0.174974405642134","6.941251022871151","-23.697999954223633","0.17772317772317772","2.888624906539917","0.0846","0.08636105107496303","0.1640931499558826","-646.0018920898438","0.08087633087633088"
"distinctive-sweep-435","finished","-","anthony-wss","pc-sigmoid","2023-05-03T14:58:47.000Z","4643","qor0m6rv","pv7h85w2","","","2023-05-03T16:16:10.000Z","2023-05-03T16:16:10.000Z","tuo2qhtwccli-5fk9f","","","","1","Tesla V100-SXM2-32GB","pc-sigmoid","true","1","clcifar20-iid","0.00001","m-resnet18","1126","294","2.950315475463867","0.0768","0.07995555555555556","3.834245131774382","-13.087817192077637","0.083","294","2.950315475463867","0.0768","0.07995555555555556","3.834245131774382","-13.087817192077637","0.083","34","2.97861385345459","0.0962","0.08944444444444444","8.138202168724753","3.2678592205047607","0.093","2.9506964683532715","0.0704","0.07462222222222223","3.760990882461721","-12.902018547058104","0.0682"
