"Name","State","Notes","User","Tags","Created","Runtime","Sweep","ID","Group","Job Type","Updated","End Time","Hostname","Description","Commit","GitHub","GPU Count","GPU Type","algo","data_aug","data_cleaning_rate","dataset_name","lr","model","seed","best_epoch-scel.epoch","best_epoch-scel.scel","best_epoch-scel.test_acc","best_epoch-scel.train_acc","best_epoch-scel.training_loss","best_epoch-scel.ure","best_epoch-scel.valid_acc","best_epoch-ure.epoch","best_epoch-ure.scel","best_epoch-ure.test_acc","best_epoch-ure.train_acc","best_epoch-ure.training_loss","best_epoch-ure.ure","best_epoch-ure.valid_acc","best_epoch-valid_acc.epoch","best_epoch-valid_acc.scel","best_epoch-valid_acc.test_acc","best_epoch-valid_acc.train_acc","best_epoch-valid_acc.training_loss","best_epoch-valid_acc.ure","best_epoch-valid_acc.valid_acc","scel","test_acc","train_acc","training_loss","ure","valid_acc"
"devout-sweep-160","finished","-","anthony-wss","l-uw","2023-05-07T02:10:23.000Z","4642","p5dcdezg","qxz8x4c8","","","2023-05-07T03:27:45.000Z","2023-05-07T03:27:45.000Z","krnhbltwccli-fsp74","","","","1","Tesla V100-SXM2-32GB","l-uw","false","1","uniform-cifar20","0.00001","m-resnet18","0","94","2.9426512718200684","0.0551","0.05288888888888889","2.9474879530343143","-51.896141052246094","0.0566","259","2.946502447128296","0.0555","0.054266666666666664","2.946452181447636","-104.7679443359375","0.0552","4","2.9900145530700684","0.0965","0.101","2.990614289587194","1.4454476833343506","0.0962","2.948202848434448","0.0621","0.05937777777777778","2.952339310537685","-39.940956115722656","0.0592"
"earnest-sweep-159","finished","-","anthony-wss","l-uw","2023-05-07T02:06:39.000Z","4622","p5dcdezg","uqx9n0ff","","","2023-05-07T03:23:41.000Z","2023-05-07T03:23:41.000Z","lhoo1dtwccli-qw2cp","","","","1","Tesla V100-SXM2-32GB","l-uw","false","1","uniform-cifar20","0.00005","m-resnet18","0","169","2.943678140640259","0.0512","0.0526","2.947196665135297","-71.87086486816406","0.0516","179","2.944494247436523","0.0548","0.0558","2.9463715770027856","-91.1689682006836","0.0536","4","2.957045316696167","0.1021","0.10562222222222224","2.9626129540530117","-8.928380012512207","0.1042","2.9449303150177","0.0577","0.05628888888888889","2.946535676717758","-75.26082611083984","0.0558"
"comfy-sweep-158","finished","-","anthony-wss","l-uw","2023-05-07T02:00:55.000Z","4754","p5dcdezg","p6ljh4i1","","","2023-05-07T03:20:09.000Z","2023-05-07T03:20:09.000Z","x20vlztwccli-h5dst","","","","1","Tesla V100-SXM2-32GB","l-uw","false","1","uniform-cifar20","0.0001","m-resnet18","0","289","2.9427196979522705","0.0465","0.050755555555555554","2.946584617549723","-73.0749282836914","0.0464","84","2.945246458053589","0.0479","0.04908888888888889","2.9469619528813795","-74.54727935791016","0.0506","4","2.9553630352020264","0.1206","0.12042222222222222","2.961543931202455","-12.035512924194336","0.1224","2.9438507556915283","0.0481","0.054066666666666666","2.9478628906336697","-51.867431640625","0.0518"
"neat-sweep-157","finished","-","anthony-wss","l-uw","2023-05-07T00:57:48.000Z","4651","p5dcdezg","mosxkesc","","","2023-05-07T02:15:19.000Z","2023-05-07T02:15:19.000Z","fbxnmytwccli-zsrvf","","","","1","Tesla V100-SXM2-32GB","l-uw","false","1","uniform-cifar20","0.0005","m-resnet18","0","294","2.944749355316162","0.0727","0.07384444444444445","2.958191893317483","-3.637609481811523","0.0766","294","2.944749355316162","0.0727","0.07384444444444445","2.958191893317483","-3.637609481811523","0.0766","24","2.9957027435302734","0.1088","0.10628888888888888","2.994944054972042","2.8940858840942383","0.11","2.945686101913452","0.0691","0.06955555555555555","2.9585262807932766","-3.5365264415740967","0.0712"
"splendid-sweep-156","finished","-","anthony-wss","l-uw","2023-05-07T00:53:15.000Z","4621","p5dcdezg","a96abicm","","","2023-05-07T02:10:16.000Z","2023-05-07T02:10:16.000Z","krnhbltwccli-fsp74","","","","1","Tesla V100-SXM2-32GB","l-uw","false","1","uniform-cifar20","0.001","m-resnet18","0","259","2.9530088901519775","0.0587","0.0602","2.963993839242242","-1.9137452840805056","0.061","299","2.9535346031188965","0.0594","0.06088888888888889","2.9636956344951284","-1.9668312072753904","0.0586","14","2.9962263107299805","0.0744","0.07786666666666667","2.9952676350420173","3.0700948238372803","0.0752","2.9535346031188965","0.0594","0.06088888888888889","2.9636956344951284","-1.9668312072753904","0.0586"
"olive-sweep-155","finished","-","anthony-wss","l-uw","2023-05-07T00:49:36.000Z","4615","p5dcdezg","s8stsshc","","","2023-05-07T02:06:31.000Z","2023-05-07T02:06:31.000Z","lhoo1dtwccli-qw2cp","","","","1","Tesla V100-SXM2-32GB","l-uw","false","1","uniform-cifar10","0.00001","m-resnet18","0","89","2.1962618827819824","0.135","0.10584444444444444","2.2061610872095283","-32.35230255126953","0.1372","289","2.197180986404419","0.0888","0.09517777777777778","2.2032226757569746","-65.95271301269531","0.0924","9","2.2460317611694336","0.3112","0.3300888888888889","2.257859755646099","-1.1161460876464844","0.3224","2.197175979614258","0.0963","0.10768888888888888","2.203216303478588","-65.90333557128906","0.0988"
"desert-sweep-154","finished","-","anthony-wss","l-uw","2023-05-07T00:41:37.000Z","4753","p5dcdezg","fl6x0zqo","","","2023-05-07T02:00:50.000Z","2023-05-07T02:00:50.000Z","x20vlztwccli-h5dst","","","","1","Tesla V100-SXM2-32GB","l-uw","false","1","uniform-cifar10","0.00005","m-resnet18","0","54","2.1956353187561035","0.0863","0.0998","2.203904509544373","-59.4034423828125","0.0864","134","2.197145938873291","0.1052","0.11373333333333334","2.203308194875717","-63.78497314453125","0.1044","4","2.2089157104492188","0.3114","0.31906666666666667","2.230531421574679","-5.891424179077148","0.3002","2.197377443313598","0.1121","0.1223111111111111","2.20341601155021","-47.58850860595703","0.11"
"wild-sweep-153","finished","-","anthony-wss","l-uw","2023-05-06T23:39:42.000Z","4677","p5dcdezg","hgkrk327","","","2023-05-07T00:57:39.000Z","2023-05-07T00:57:39.000Z","fbxnmytwccli-zsrvf","","","","1","Tesla V100-SXM2-32GB","l-uw","false","1","uniform-cifar10","0.0001","m-resnet18","0","59","2.196997880935669","0.1218","0.12977777777777777","2.204605882818049","-57.87932968139648","0.1194","39","2.197225570678711","0.099","0.10268888888888889","2.203595808961175","-63.14341735839844","0.09","4","2.204772472381592","0.3089","0.3171555555555556","2.227694722739133","-8.348294258117676","0.3044","2.1973912715911865","0.1199","0.1228888888888889","2.203422039747238","-47.38092803955078","0.115"
"rich-sweep-152","finished","-","anthony-wss","l-uw","2023-05-06T23:36:07.000Z","4624","p5dcdezg","i2qkc4ya","","","2023-05-07T00:53:11.000Z","2023-05-07T00:53:11.000Z","krnhbltwccli-fsp74","","","","1","Tesla V100-SXM2-32GB","l-uw","false","1","uniform-cifar10","0.0005","m-resnet18","0","254","2.1977851390838623","0.1801","0.15855555555555556","2.208933264017105","-28.06759452819824","0.1766","254","2.1977851390838623","0.1801","0.15855555555555556","2.208933264017105","-28.06759452819824","0.1766","24","2.2214901447296143","0.4637","0.4836444444444444","2.243663004853509","-2.41564416885376","0.4574","2.1983227729797363","0.1785","0.1665111111111111","2.2097306847572327","-27.48177719116211","0.175"
"playful-sweep-151","finished","-","anthony-wss","l-uw","2023-05-06T23:32:33.000Z","4614","p5dcdezg","hixbrmr5","","","2023-05-07T00:49:27.000Z","2023-05-07T00:49:27.000Z","lhoo1dtwccli-qw2cp","","","","1","Tesla V100-SXM2-32GB","l-uw","false","1","uniform-cifar10","0.001","m-resnet18","0","294","2.198704957962036","0.2734","0.2707777777777778","2.2188285399566996","-11.810811042785645","0.2606","294","2.198704957962036","0.2734","0.2707777777777778","2.2188285399566996","-11.810811042785645","0.2606","39","2.2566115856170654","0.4048","0.4206666666666667","2.263725773854689","-0.16364268958568573","0.4","2.2112374305725098","0.3108","0.3226222222222222","2.23189300569621","-8.076066970825195","0.2984"
