"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","ID","Group","Job Type","Updated","End Time","Hostname","Description","Commit","GitHub","GPU Count","GPU Type","algo","data_aug","dataset_name","lr","model","seed","best_epoch-scel.epoch","best_epoch-scel.scel","best_epoch-scel.test_acc","best_epoch-scel.train_acc","best_epoch-scel.training_loss","best_epoch-scel.ure","best_epoch-scel.valid_acc","best_epoch-ure.epoch","best_epoch-ure.scel","best_epoch-ure.test_acc","best_epoch-ure.train_acc","best_epoch-ure.training_loss","best_epoch-ure.ure","best_epoch-ure.valid_acc","best_epoch-valid_acc.epoch","best_epoch-valid_acc.scel","best_epoch-valid_acc.test_acc","best_epoch-valid_acc.train_acc","best_epoch-valid_acc.training_loss","best_epoch-valid_acc.ure","best_epoch-valid_acc.valid_acc","scel","test_acc","train_acc","training_loss","ure","valid_acc"
"lyric-sweep-90","hlvzz9jx","finished","-","anthony-wss","pc-sigmoid","2023-05-03T04:06:43.000Z","1523","ed6g0prs","f3e01tow","","","2023-05-03T04:32:06.000Z","2023-05-03T04:32:06.000Z","laddsgtwccli-wrrc7","","","","1","Tesla V100-SXM2-32GB","pc-sigmoid","false","uniform-cifar20","0.00001","resnet18","2","44","2.9470953941345215","0.0632","0.0641111111111111","0.7686459571123123","-76.05596923828125","0.0602","289","2.9541144371032715","0.056","0.057244444444444445","0.0004790465940128674","-251.24557495117188","0.0558","14","2.963937997817993","0.0731","0.07924444444444445","5.7392744259400805","-15.884382247924805","0.0776","2.9542312622070312","0.0566","0.05728888888888889","0.0005180544473908164","-250.75198364257812","0.0532"
"colorful-sweep-89","7cvsamjw","finished","-","anthony-wss","pc-sigmoid","2023-05-03T03:59:12.000Z","1531","ed6g0prs","psuwxk5b","","","2023-05-03T04:24:43.000Z","2023-05-03T04:24:43.000Z","rkcc19twccli-t5ddj","","","","1","Tesla V100-SXM2-32GB","pc-sigmoid","false","uniform-cifar20","0.00005","resnet18","2","9","2.946967124938965","0.063","0.0666","1.1478082686662674","-67.98211669921875","0.0616","274","2.948122262954712","0.0601","0.06464444444444445","0.0008879981257698753","-259.99993896484375","0.0686","4","2.9601011276245117","0.0801","0.08206666666666666","5.174977459690788","-20.53384017944336","0.0802","2.948437213897705","0.0598","0.06406666666666666","0.0011311369863423431","-249.57240295410156","0.0684"
"quiet-sweep-88","hlvzz9jx","finished","-","anthony-wss","pc-sigmoid","2023-05-03T03:41:21.000Z","1514","ed6g0prs","r0mgf6qt","","","2023-05-03T04:06:35.000Z","2023-05-03T04:06:35.000Z","laddsgtwccli-wrrc7","","","","1","Tesla V100-SXM2-32GB","pc-sigmoid","false","uniform-cifar20","0.0001","resnet18","2","289","2.943147897720337","0.0699","0.07055555555555555","0.0007921707901087674","-290.1778564453125","0.072","284","2.9432058334350586","0.0694","0.07144444444444445","0.0009469620206139304","-290.89208984375","0.072","4","2.9508824348449707","0.0743","0.07933333333333334","3.3604336272586477","-40.143829345703125","0.0752","2.9431912899017334","0.0677","0.07024444444444444","0.0007004040208729831","-285.116943359375","0.07"
"giddy-sweep-87","7cvsamjw","finished","-","anthony-wss","pc-sigmoid","2023-05-03T03:33:50.000Z","1516","ed6g0prs","llw8az27","","","2023-05-03T03:59:06.000Z","2023-05-03T03:59:06.000Z","rkcc19twccli-t5ddj","","","","1","Tesla V100-SXM2-32GB","pc-sigmoid","false","uniform-cifar20","0.0005","resnet18","2","289","2.938147783279419","0.0778","0.07995555555555556","0.0018907351927323775","-413.4793701171875","0.0788","149","2.9393832683563232","0.0818","0.08133333333333333","0.009713143110275269","-435.4700012207031","0.0834","4","2.994105577468872","0.1058","0.10808888888888887","7.986380647529256","-11.31298828125","0.1054","2.9386541843414307","0.0767","0.07937777777777778","0.0013741938905282454","-378.1624450683594","0.078"
"wandering-sweep-86","hlvzz9jx","finished","-","anthony-wss","pc-sigmoid","2023-05-03T03:15:46.000Z","1526","ed6g0prs","ofd07x2d","","","2023-05-03T03:41:12.000Z","2023-05-03T03:41:12.000Z","laddsgtwccli-wrrc7","","","","1","Tesla V100-SXM2-32GB","pc-sigmoid","false","uniform-cifar20","0.001","resnet18","2","54","2.9324865341186523","0.0633","0.0654","0.027258092029528183","-450.2450866699219","0.0598","84","2.9347362518310547","0.0689","0.06984444444444445","0.01850953698158264","-488.29779052734375","0.066","9","3.0526304244995117","0.1041","0.10375555555555556","8.869655728340149","-1.7532716989517212","0.1094","2.9343481063842773","0.0738","0.0746","0.0022931620478630066","-416.1712341308594","0.0734"
"copper-sweep-85","7cvsamjw","finished","-","anthony-wss","pc-sigmoid","2023-05-03T03:08:14.000Z","1530","ed6g0prs","3acw11x4","","","2023-05-03T03:33:44.000Z","2023-05-03T03:33:44.000Z","rkcc19twccli-t5ddj","","","","1","Tesla V100-SXM2-32GB","pc-sigmoid","false","uniform-cifar10","0.00001","resnet18","2","244","2.197986602783203","0.128","0.1411777777777778","0.002203085205771706","-103.5813446044922","0.127","284","2.1980953216552734","0.1274","0.13782222222222223","0.00011541288007389416","-109.41942596435548","0.1232","9","2.2513234615325928","0.2232","0.23022222222222224","3.1735911694439976","-3.630192279815674","0.2078","2.1980299949645996","0.1271","0.13655555555555557","0.00010815533724698152","-109.05191802978516","0.1244"
"royal-sweep-84","hlvzz9jx","finished","-","anthony-wss","pc-sigmoid","2023-05-03T02:50:45.000Z","1493","ed6g0prs","1nt5qgpt","","","2023-05-03T03:15:38.000Z","2023-05-03T03:15:38.000Z","laddsgtwccli-wrrc7","","","","1","Tesla V100-SXM2-32GB","pc-sigmoid","false","uniform-cifar10","0.00005","resnet18","2","299","2.1978137493133545","0.1484","0.15504444444444446","0.0003036348657174544","-91.47859954833984","0.1394","174","2.198403596878052","0.1468","0.15288888888888888","0.0004434382373636419","-106.64228057861328","0.144","4","2.223461389541626","0.197","0.21046666666666664","2.1321686424992303","-11.195307731628418","0.1944","2.1978137493133545","0.1484","0.15504444444444446","0.0003036348657174544","-91.47859954833984","0.1394"
"legendary-sweep-83","7cvsamjw","finished","-","anthony-wss","pc-sigmoid","2023-05-03T02:42:39.000Z","1529","ed6g0prs","7pzlwad0","","","2023-05-03T03:08:08.000Z","2023-05-03T03:08:08.000Z","rkcc19twccli-t5ddj","","","","1","Tesla V100-SXM2-32GB","pc-sigmoid","false","uniform-cifar10","0.0001","resnet18","2","194","2.1976261138916016","0.1869","0.1942","0.015051971105012026","-109.35099792480467","0.1736","134","2.1983184814453125","0.1781","0.1837111111111111","0.0006788454272530296","-117.27191925048828","0.169","54","2.256166934967041","0.2349","0.2386666666666667","2.1042922653935174","-36.48714065551758","0.2284","2.1979081630706787","0.1897","0.19291111111111112","0.0001874078403819691","-108.560791015625","0.1832"
"daily-sweep-82","hlvzz9jx","finished","-","anthony-wss","pc-sigmoid","2023-05-03T02:25:39.000Z","1498","ed6g0prs","7i36obw7","","","2023-05-03T02:50:37.000Z","2023-05-03T02:50:37.000Z","laddsgtwccli-wrrc7","","","","1","Tesla V100-SXM2-32GB","pc-sigmoid","false","uniform-cifar10","0.0005","resnet18","2","84","2.1919872760772705","0.2022","0.2046","0.06697626411914825","-190.69158935546875","0.1934","154","2.194286823272705","0.1916","0.18626666666666664","0.03303199261426926","-202.1713104248047","0.1856","4","2.3334221839904785","0.2993","0.30962222222222224","3.786493810740384","-3.1715621948242188","0.3006","2.1964447498321533","0.1562","0.16555555555555557","0.02918743003498424","-192.76318359375","0.1628"
"earthy-sweep-81","7cvsamjw","finished","-","anthony-wss","pc-sigmoid","2023-05-03T02:17:11.000Z","1522","ed6g0prs","f87rco3t","","","2023-05-03T02:42:33.000Z","2023-05-03T02:42:33.000Z","rkcc19twccli-t5ddj","","","","1","Tesla V100-SXM2-32GB","pc-sigmoid","false","uniform-cifar10","0.001","resnet18","2","94","2.1926441192626953","0.1803","0.1832","0.08031527156179602","-204.36610412597656","0.1762","249","2.198162794113159","0.169","0.1638888888888889","0.05647449804977937","-220.13397216796875","0.1674","9","2.452199697494507","0.3326","0.3324888888888889","3.9668623317371714","-0.7443259358406067","0.3184","2.1990928649902344","0.1607","0.15811111111111112","0.05522153594277122","-219.03564453125","0.1612"
