"Name","State","Notes","User","Tags","Created","Runtime","Sweep","ID","Group","Job Type","Updated","End Time","Hostname","Description","Commit","GitHub","GPU Count","GPU Type","algo","data_aug","dataset_name","lr","model","seed","best_epoch-scel.epoch","best_epoch-scel.scel","best_epoch-scel.test_acc","best_epoch-scel.train_acc","best_epoch-scel.training_loss","best_epoch-scel.ure","best_epoch-scel.valid_acc","best_epoch-ure.epoch","best_epoch-ure.scel","best_epoch-ure.test_acc","best_epoch-ure.train_acc","best_epoch-ure.training_loss","best_epoch-ure.ure","best_epoch-ure.valid_acc","best_epoch-valid_acc.epoch","best_epoch-valid_acc.scel","best_epoch-valid_acc.test_acc","best_epoch-valid_acc.train_acc","best_epoch-valid_acc.training_loss","best_epoch-valid_acc.ure","best_epoch-valid_acc.valid_acc","scel","test_acc","train_acc","training_loss","ure","valid_acc"
"crimson-sweep-52","finished","-","anthony-wss","scl-nl","2023-04-24T21:08:45.000Z","4441","2z2ru6yg","nqyxduv7","","","2023-04-24T22:22:46.000Z","2023-04-24T22:22:46.000Z","qjwq80twccli-vc5ck","","","","1","Tesla V100-SXM2-32GB","scl-nl","true","clcifar10-noiseless","0.0005","m-resnet18","0","274","2.1642184257507324","0.6356","0.6417644472216436","0.005164773754008553","-1.744470477104187","0.6367423453447199","274","2.1642184257507324","0.6356","0.6417644472216436","0.005164773754008553","-1.744470477104187","0.6367423453447199","214","2.167375087738037","0.6389","0.6518780809553565","0.00807518819347024","-1.3908405303955078","0.6477817121433035","2.1675236225128174","0.6376","0.6476891388368164","0.007410355862777899","-1.443218231201172","0.6373672151635076"
"eager-sweep-42","finished","-","anthony-wss","scl-exp","2023-04-24T18:39:15.000Z","4461","2z2ru6yg","clttw2oj","","","2023-04-24T19:53:36.000Z","2023-04-24T19:53:36.000Z","eiqtb5twccli-c57rr","","","","1","Tesla V100-SXM2-32GB","scl-exp","true","clcifar10-noiseless","0.0005","m-resnet18","0","264","2.173234701156616","0.6174","0.6251243953805921","1.0080796494203454","-1.1091521978378296","0.6286190377004791","294","2.17480993270874","0.6282","0.635423175727279","1.008407930766835","-1.1276832818984983","0.6325765465528015","239","2.1793386936187744","0.6294","0.6411858640560995","1.0112340520409977","-0.8093637824058533","0.6434076234117893","2.174994945526123","0.6279","0.6337568562105117","1.008432419159833","-1.0432426929473877","0.6315350968548219"
"firm-sweep-12","finished","-","anthony-wss","fwd-u","2023-04-24T11:01:29.000Z","4425","2z2ru6yg","lhh4etuo","","","2023-04-24T12:15:14.000Z","2023-04-24T12:15:14.000Z","eiqtb5twccli-c57rr","","","","1","Tesla V100-SXM2-32GB","fwd-u","true","clcifar10-noiseless","0.0005","m-resnet18","0","244","2.1655125617980957","0.6212","0.6290819042329144","2.2035705482258514","-1.6659879684448242","0.6115392626536138","244","2.1655125617980957","0.6212","0.6290819042329144","2.2035705482258514","-1.6659879684448242","0.6115392626536138","224","2.166938543319702","0.6484","0.6545627068434817","2.20506435843075","-1.4146782159805298","0.6527806706936055","2.168907165527344","0.6259","0.6340577194565947","2.206318468206069","-1.4008067846298218","0.621328889814622"
"valiant-sweep-51","finished","-","anthony-wss","scl-nl","2023-04-24T21:06:08.000Z","4432","2z2ru6yg","b2jo9hxc","","","2023-04-24T22:20:00.000Z","2023-04-24T22:20:00.000Z","tktimhtwccli-bdj8w","","","","1","Tesla V100-SXM2-32GB","scl-nl","true","clcifar10-noiseless","0.001","m-resnet18","0","279","2.1763033866882324","0.5831","0.5921914415978152","0.015902436283581397","-0.9653799533843994","0.5840449906269527","279","2.1763033866882324","0.5831","0.5921914415978152","0.015902436283581397","-0.9653799533843994","0.5840449906269527","274","2.1763410568237305","0.6076","0.6090397833784629","0.01632232969517217","-0.8130386471748352","0.6046656946469485","2.1767795085906982","0.5956","0.5946677775463445","0.016332071181386708","-0.8585657477378845","0.5809206415330139"
"drawn-sweep-31","finished","-","anthony-wss","fwd-r","2023-04-24T16:07:45.000Z","4441","2z2ru6yg","dsylhee2","","","2023-04-24T17:21:46.000Z","2023-04-24T17:21:46.000Z","tktimhtwccli-bdj8w","","","","1","Tesla V100-SXM2-32GB","fwd-r","true","clcifar10-noiseless","0.001","m-resnet18","0","299","2.146547317504883","0.5925","0.5952000740586452","2.1465469809139477","-1.1961666345596311","0.5921682982711935","249","2.149012327194214","0.5791","0.5868684764748084","2.1490127815919764","-1.2852590084075928","0.5813372214122058","134","2.169067144393921","0.6079","0.607118887268856","2.1690669312196618","-0.5608718991279602","0.6159133513851281","2.146547317504883","0.5925","0.5952000740586452","2.1465469809139477","-1.1961666345596311","0.5921682982711935"
"curious-sweep-32","finished","-","anthony-wss","fwd-r","2023-04-24T16:09:22.000Z","4455","2z2ru6yg","jidlntag","","","2023-04-24T17:23:37.000Z","2023-04-24T17:23:37.000Z","eiqtb5twccli-c57rr","","","","1","Tesla V100-SXM2-32GB","fwd-r","true","clcifar10-noiseless","0.0005","m-resnet18","0","299","2.117746114730835","0.5871","0.5851790136314193","2.117746448516846","-1.5530587434768677","0.5967506769423037","244","2.1254916191101074","0.5964","0.5923997315374112","2.125491470449111","-1.632657766342163","0.5932097479691731","109","2.1538193225860596","0.6348","0.6397046911523062","2.1538194544175093","-0.9742491245269777","0.6367423453447199","2.117746114730835","0.5871","0.5851790136314193","2.117746448516846","-1.5530587434768677","0.5967506769423037"
"celestial-sweep-11","finished","-","anthony-wss","fwd-u","2023-04-24T11:00:01.000Z","4427","2z2ru6yg","9h2492bi","","","2023-04-24T12:13:48.000Z","2023-04-24T12:13:48.000Z","tktimhtwccli-bdj8w","","","","1","Tesla V100-SXM2-32GB","fwd-u","true","clcifar10-noiseless","0.001","m-resnet18","0","269","2.175901412963867","0.5888","0.6009396190608438","2.211921324449427","-0.9844214916229248","0.593418037908769","279","2.1761529445648193","0.5539","0.5633317133004698","2.212363613353056","-1.1142069101333618","0.5611330972714018","254","2.1784093379974365","0.5815","0.5961952371033813","2.214790798636044","-0.8218797445297241","0.5975838367006874","2.1782734394073486","0.5866","0.5966581036358166","2.2141809407402486","-0.9336642026901244","0.5852947302645283"
"peach-sweep-43","finished","-","anthony-wss","scl-exp","2023-04-24T18:39:32.000Z","4438","2z2ru6yg","1e62unux","","","2023-04-24T19:53:30.000Z","2023-04-24T19:53:30.000Z","qjwq80twccli-vc5ck","","","","1","Tesla V100-SXM2-32GB","scl-exp","true","clcifar10-noiseless","0.0001","m-resnet18","0","229","2.167570114135742","0.5846","0.5958712305306765","1.0024598766775692","-2.7760300636291504","0.5815455113518017","229","2.167570114135742","0.5846","0.5958712305306765","1.0024598766775692","-2.7760300636291504","0.5815455113518017","259","2.1708712577819824","0.5822","0.5944826309333704","1.003736236516167","-2.6108267307281494","0.5927931680899813","2.1694061756134033","0.576","0.5867759031683214","1.0031993894016042","-2.5928704738616943","0.5705061445532181"
"cosmic-sweep-53","finished","-","anthony-wss","scl-nl","2023-04-24T21:09:33.000Z","4482","2z2ru6yg","x0ywf03p","","","2023-04-24T22:24:15.000Z","2023-04-24T22:24:15.000Z","eiqtb5twccli-c57rr","","","","1","Tesla V100-SXM2-32GB","scl-nl","true","clcifar10-noiseless","0.0001","m-resnet18","0","189","2.1650214195251465","0.5759","0.5961258071235159","0.0024809587219565667","-2.826457262039185","0.578212872318267","254","2.1655783653259277","0.5971","0.5979772732532574","0.0024434074691003734","-2.8930227756500244","0.5792543220162466","199","2.1682679653167725","0.5825","0.5919600083315976","0.005491964846356388","-2.4980156421661377","0.5871693397208915","2.1678764820098877","0.5744","0.5849012937119582","0.003837841253398972","-2.812044143676758","0.568214955217663"
"hopeful-sweep-72","finished","-","anthony-wss","l-uw","2023-04-25T02:07:35.000Z","4438","2z2ru6yg","mo0flc0t","","","2023-04-25T03:21:33.000Z","2023-04-25T03:21:33.000Z","qjwq80twccli-vc5ck","","","","1","Tesla V100-SXM2-32GB","l-uw","true","clcifar10-noiseless","0.0005","m-resnet18","0","294","2.162070035934448","0.5679","0.5687241084033419","2.2320109788109272","-2.316824197769165","0.5567590085398876","294","2.162070035934448","0.5679","0.5687241084033419","2.2320109788109272","-2.316824197769165","0.5567590085398876","164","2.1682395935058594","0.591","0.59971302274989","2.236501351524802","-1.3489410877227783","0.5930014580295772","2.164821147918701","0.5622","0.567219792172927","2.2331205255845012","-2.109452962875366","0.5582170381170589"
